entity,id
http://smpdb.ca/pathways/#Protein/16681_Cytoplasm,Q56JW4
http://smpdb.ca/pathways/#Protein/21139_Nucleus,Q5XI73
http://smpdb.ca/pathways/#Protein/7349_Inner_Membrane,P02925
http://smpdb.ca/pathways/#Protein/13921_Mitochondrion,P61922
http://smpdb.ca/pathways/#Protein/13584_Cytoplasm,Q8W1X2
http://smpdb.ca/pathways/#Protein/17407_Cytosol,P10687
http://smpdb.ca/pathways/#Protein/22274_Cell_Membrane,Q924K2
http://smpdb.ca/pathways/#Protein/21754_Cytoplasm,Q3T030
http://smpdb.ca/pathways/#Protein/20473_Cytoplasm,P70171
http://smpdb.ca/pathways/#Protein/19337_Cytosol,P35345
http://smpdb.ca/pathways/#Protein/11516_Cell_Membrane,Q9M9H6
http://smpdb.ca/pathways/#Protein/21746,Q9DCF7
http://smpdb.ca/pathways/#Protein/19517,Q63369
http://smpdb.ca/pathways/#Protein/12242,A6V616
http://smpdb.ca/pathways/#Protein/13745_Cytosol,P0C027
http://smpdb.ca/pathways/#Protein/12247,A6V3L5
http://smpdb.ca/pathways/#Protein/19418_Cytosol,A4GTP4
http://smpdb.ca/pathways/#Protein/20724_Cytoplasm,Q56K10
http://smpdb.ca/pathways/#Protein/11628_chloroplast,O81770
http://smpdb.ca/pathways/#Protein/11294_Cytosol,Q8RW90
http://smpdb.ca/pathways/#Protein/1822,P31645
http://smpdb.ca/pathways/#Protein/22177,O70350
http://smpdb.ca/pathways/#Protein/20600_Cytoplasm,P20280
http://smpdb.ca/pathways/#Protein/10444_Cytosol,P0ACF8
http://smpdb.ca/pathways/#Protein/11526_Cell_Membrane,Q39032
http://smpdb.ca/pathways/#Protein/11053_Chloroplast,Q9LR29
http://smpdb.ca/pathways/#Protein/4926,P56696
http://smpdb.ca/pathways/#Protein/12243_Cytosol,A6V628
http://smpdb.ca/pathways/#Protein/278,P00505
http://smpdb.ca/pathways/#Protein/2457_Endoplasmic_Reticulum_Lumen,P32320
http://smpdb.ca/pathways/#Protein/15420_Mitochondrial_Matrix,F3YDG9
http://smpdb.ca/pathways/#Protein/1740_Cytoplasm,P50148
http://smpdb.ca/pathways/#Protein/17645_Cytosol,Q8CIY2
http://smpdb.ca/pathways/#Protein/16267_Endoplasmic_Reticulum_Membrane,F1MKI4
http://smpdb.ca/pathways/#Protein/19438_Cytoplasm,Q2KJ93
http://smpdb.ca/pathways/#Protein/5945,P08204
http://smpdb.ca/pathways/#Protein/21872_Cytoplasm,Q8VI37
http://smpdb.ca/pathways/#Protein/1701_Mitochondrial_Matrix,P04179
http://smpdb.ca/pathways/#Protein/22672,A8DY95
http://smpdb.ca/pathways/#Protein/20614_Cytoplasm,Q56K03
http://smpdb.ca/pathways/#Protein/19553_Cytosol,Q28824
http://smpdb.ca/pathways/#Protein/21128_Cytoplasm,Q91Y65
http://smpdb.ca/pathways/#Protein/11514_Cytoplasm,Q9FK25
http://smpdb.ca/pathways/#Protein/15614_Cytoplasm,Q32PA4
http://smpdb.ca/pathways/#Protein/10842,P07259
http://smpdb.ca/pathways/#Protein/7804,P37689
http://smpdb.ca/pathways/#Protein/17457_Cytosol,O09184
http://smpdb.ca/pathways/#Protein/17259_Endoplasmic_Reticulum_Membrane,Q29453
http://smpdb.ca/pathways/#Protein/12023,A6V2V3
http://smpdb.ca/pathways/#Protein/6113_Inner_Membrane,P0A9C5
http://smpdb.ca/pathways/#Protein/2617_Cytoplasm,Q8IVS8
http://smpdb.ca/pathways/#Protein/19542,Q8SPS8
http://smpdb.ca/pathways/#Protein/5868,P04079
http://smpdb.ca/pathways/#Protein/22837_Chloroplast,Q9CAK8
http://smpdb.ca/pathways/#Protein/14781_Endoplasmic_Reticulum_Membrane,Q93841
http://smpdb.ca/pathways/#Protein/14376_Extracellular_Space,P01138
http://smpdb.ca/pathways/#Protein/6185_Cytosol,P0ABQ4
http://smpdb.ca/pathways/#Protein/11452_Cytosol,Q8BM85
http://smpdb.ca/pathways/#Protein/5967,P09158
http://smpdb.ca/pathways/#Protein/1201_Cytoplasm,Q05397
http://smpdb.ca/pathways/#Protein/19667_Extracellular_Space,P01323
http://smpdb.ca/pathways/#Protein/14619_Mitochondrial_Outer_Membrane,A1L1K7
http://smpdb.ca/pathways/#Protein/1054,Q13976
http://smpdb.ca/pathways/#Protein/6002,P0A6L2
http://smpdb.ca/pathways/#Protein/6359,P16703
http://smpdb.ca/pathways/#Protein/7813_Mitochondrial_membrane,Q08388
http://smpdb.ca/pathways/#Protein/19567_Cytosol,P79107
http://smpdb.ca/pathways/#Protein/14759_Mitochondrial_Inner_Membrane,O80952
http://smpdb.ca/pathways/#Protein/5293_Endoplasmic_Reticulum,P08686
http://smpdb.ca/pathways/#Protein/11011,Q07084
http://smpdb.ca/pathways/#Protein/6749,P76422
http://smpdb.ca/pathways/#Protein/13909_Mitochondrial_Matrix,Q8BH95
http://smpdb.ca/pathways/#Protein/19810_Cytoplasm,Q9QWI4
http://smpdb.ca/pathways/#Protein/10677,P53848
http://smpdb.ca/pathways/#Protein/13913,P05202
http://smpdb.ca/pathways/#Protein/278_Mitochondrial_Matrix,P00505
http://smpdb.ca/pathways/#Protein/15888_Mitochondrion,P48376
http://smpdb.ca/pathways/#Protein/13840_Cytosol,P07742
http://smpdb.ca/pathways/#Protein/Generic76_Cytoplasm,P60709
http://smpdb.ca/pathways/#Protein/19819_Extracellular_Space,O18969
http://smpdb.ca/pathways/#Protein/17202_Cytosol,F1MQM8
http://smpdb.ca/pathways/#Protein/121_Mitochondrion,Q06278
http://smpdb.ca/pathways/#Protein/6148,P0AAI5
http://smpdb.ca/pathways/#Protein/14907_Cytoplasm,O17732
http://smpdb.ca/pathways/#Protein/16707_Cytoplasm,Q59A32
http://smpdb.ca/pathways/#Protein/21387_Cytoplasm,O08565
http://smpdb.ca/pathways/#Protein/Generic204,
