entity,entityName
http://smpdb.ca/pathways/#Protein/22682_Cytosol,2-aminomuconic semialdehyde dehydrogenase
http://smpdb.ca/pathways/#Protein/603_Cytoplasm,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"
http://smpdb.ca/pathways/#Protein/22043,Calcium release-activated calcium channel protein 1
http://smpdb.ca/pathways/#Protein/14796_Cytoplasm,Selenocysteine lyase
http://smpdb.ca/pathways/#Protein/11589_Cytosol,tRNA dimethylallyltransferase
http://smpdb.ca/pathways/#Protein/22095_Cell_Membrane,Toll-like receptor 2
http://smpdb.ca/pathways/#Protein/13565_Chloroplast,"Flavin mononucleotide hydrolase 1, chloroplatic"
http://smpdb.ca/pathways/#Protein/19549_Cell_Membrane,Prostacyclin receptor
http://smpdb.ca/pathways/#Protein/19970_Cytoplasm,Ras-related protein Ral-A
http://smpdb.ca/pathways/#Protein/14860_Mitochondrial_Matrix,Dihydrolipoyl dehydrogenase
http://smpdb.ca/pathways/#Protein/2033_Cytoplasm,Toll-like receptor 4
http://smpdb.ca/pathways/#Protein/19544,Lutropin-choriogonadotropic hormone receptor
http://smpdb.ca/pathways/#Protein/16530,3-alpha-hydroxysteroid dehydrogenase
http://smpdb.ca/pathways/#Protein/11651_Chloroplast,RuBisCO l small subunit
http://smpdb.ca/pathways/#Protein/20578_Cytoplasm,60S ribosomal protein L12
http://smpdb.ca/pathways/#Protein/13610_Mitochondrial_Matrix,"Probable isocitrate dehydrogenase [NAD] gamma 2, mitochondrial"
http://smpdb.ca/pathways/#Protein/2432,Cholesterol 24-hydroxylase
http://smpdb.ca/pathways/#Protein/Generic68_Cytoplasm,Bacterial Ribosome
http://smpdb.ca/pathways/#Protein/10898,Methylsterol monooxygenase
http://smpdb.ca/pathways/#Protein/16135,Glucose-6-phosphatase
http://smpdb.ca/pathways/#Protein/15937,Multidrug resistance protein homolog 65
http://smpdb.ca/pathways/#Protein/10942,glycerol-3-phosphate dehydrogenase
http://smpdb.ca/pathways/#Protein/22171,Complement component C6
http://smpdb.ca/pathways/#Protein/8561,Transcription factor p65
http://smpdb.ca/pathways/#Protein/16258_Endoplasmic_Reticulum_Membrane,Phospholipid phosphatase 2
http://smpdb.ca/pathways/#Protein/14779_Cytoplasm,Probable glycerol-3-phosphate dehydrogenase 2
http://smpdb.ca/pathways/#Protein/7874,NMN amidohydrolase
http://smpdb.ca/pathways/#Protein/5851_Cytosol,Mannose-6-phosphate isomerase
http://smpdb.ca/pathways/#Protein/635_Cytoplasm,L-serine dehydratase/L-threonine deaminase
http://smpdb.ca/pathways/#Protein/460_Endoplasmic_Reticulum_Membrane,UDP-glucuronosyltransferase 1-4
http://smpdb.ca/pathways/#Protein/19842_Nucleus,RB transcriptional corepressor 1
http://smpdb.ca/pathways/#Protein/9982_Mitochondrial_Inner_Membrane,Fumarate reductase 1
http://smpdb.ca/pathways/#Protein/13714_Cytoplasm,Alpha-enolase
http://smpdb.ca/pathways/#Protein/14665_Extracellular_Space,Complement factor B
http://smpdb.ca/pathways/#Protein/16895_Cytosol,Inositol polyphosphate-4-phosphatase
http://smpdb.ca/pathways/#Protein/15231_Mitochondrion,Hexokinase-1
http://smpdb.ca/pathways/#Protein/20403,Tissue factor
http://smpdb.ca/pathways/#Protein/2411_Cytosol,Thymidylate synthase
http://smpdb.ca/pathways/#Protein/5918,T-protein
http://smpdb.ca/pathways/#Protein/19641_Cytosol,Interleukin-4
http://smpdb.ca/pathways/#Protein/6507_Cytosol,Crotonobetainyl-CoA:carnitine CoA-transferase
