S29A1	abstraction:ControlsTransportOfChemical	6842
PCFT	abstraction:ControlsTransportOfChemical	folate
SAHH3	abstraction:ControlsTransportOfChemical	hydroxidodioxidocarbonate(1-)
S38A2	abstraction:ControlsTransportOfChemical	sodium(1+)
SC6A4	abstraction:ControlsTransportOfChemical	serotonin cation
TUSC3	abstraction:ControlsTransportOfChemical	Mg2+
TPC	abstraction:ControlsTransportOfChemical	thiamine diphosphate(2-)
EMC5	abstraction:ControlsTransportOfChemical	Mg2+
ZNT10	abstraction:ControlsTransportOfChemical	Mn2+
SO2B1	abstraction:ControlsTransportOfChemical	bilirubin dianion
NRAM2	abstraction:ControlsTransportOfChemical	H+
SATT	abstraction:ControlsTransportOfChemical	(2R)-2-ammonio-3-sulfanylpropanoate
OSBP1	abstraction:ControlsTransportOfChemical	an N-acyl-sphingoid base
ACATN	abstraction:ControlsTransportOfChemical	acetyl-CoA tetraanion
SC5AC	abstraction:ControlsTransportOfChemical	sodium(1+)
AT132	abstraction:ControlsTransportOfChemical	cation
S22AD	abstraction:ControlsTransportOfChemical	pyridine-3-carboxylate
SORCN	abstraction:ControlsTransportOfChemical	calcium(II) cation
ABCA4	abstraction:ControlsTransportOfChemical	CHEBI:71063
